T,mut_pct,evasion_type,threshold,fpr,tpr
100,10,evasion_pure,33.41793663708829,0.0,0.981
100,10,evasion_pure,32.82102305270683,0.0,0.984
100,10,evasion_pure,32.224753740259764,0.0,0.985
100,10,evasion_pure,31.628932137728263,0.0,0.991
100,10,evasion_pure,31.031517051446066,0.0,0.998
100,10,evasion_pure,30.434152181326482,0.0,0.999
100,10,evasion_pure,28.643974142806876,0.0,1.0
100,10,evasion_pure,7.161150909262744,0.002,1.0
100,10,evasion_pure,4.774690718274138,0.004,1.0
100,10,evasion_pure,4.1778319206319825,0.008,1.0
100,10,evasion_pure,3.5816987086802543,0.016,1.0
100,10,evasion_pure,3.0,0.055,1.0
100,10,evasion_pure,2.3979400086720375,0.189,1.0
100,10,evasion_pure,1.7958800173440752,0.501,1.0
100,10,evasion_pure,1.193820026016113,0.87,1.0
100,10,evasion_pure,0.6020599913279624,0.999,1.0
100,10,evasion_pure,-0.0,1.0,1.0
100,10,evasion_pure,-inf,1.0,1.0
100,10,evasion_dilute,inf,0.0,0.0
100,10,evasion_dilute,47.73992861201493,0.0,0.002
100,10,evasion_dilute,45.95078197732982,0.0,0.003
100,10,evasion_dilute,45.35359627377693,0.0,0.009
100,10,evasion_dilute,44.756961951313706,0.0,0.01
100,10,evasion_dilute,44.15989390554324,0.0,0.012
100,10,evasion_dilute,43.56383735295925,0.0,0.014
100,10,evasion_dilute,42.96657624451305,0.0,0.025
100,10,evasion_dilute,42.36957212497498,0.0,0.027
100,10,evasion_dilute,41.772113295386326,0.0,0.028
100,10,evasion_dilute,41.17587416608345,0.0,0.03
100,10,evasion_dilute,40.580044251510245,0.0,0.057
100,10,evasion_dilute,39.98296666070122,0.0,0.062
100,10,evasion_dilute,39.38615817812393,0.0,0.069
100,10,evasion_dilute,38.78781239559604,0.0,0.079
100,10,evasion_dilute,38.192464971931145,0.0,0.12
100,10,evasion_dilute,37.59516628338006,0.0,0.132
100,10,evasion_dilute,37.0,0.0,0.154
100,10,evasion_dilute,36.40230481407449,0.0,0.167
100,10,evasion_dilute,35.80410034759077,0.0,0.234
100,10,evasion_dilute,35.20830935097988,0.0,0.245
100,10,evasion_dilute,34.612610173661274,0.0,0.261
100,10,evasion_dilute,34.015022873584506,0.0,0.29
100,10,evasion_dilute,33.41793663708829,0.0,0.366
100,10,evasion_dilute,32.82102305270683,0.0,0.387
100,10,evasion_dilute,32.224753740259764,0.0,0.403
100,10,evasion_dilute,31.628932137728263,0.0,0.42
100,10,evasion_dilute,31.031517051446066,0.0,0.494
100,10,evasion_dilute,30.434152181326482,0.0,0.513
100,10,evasion_dilute,29.838631997765024,0.0,0.534
100,10,evasion_dilute,29.241088107602028,0.0,0.564
100,10,evasion_dilute,28.643974142806876,0.0,0.629
100,10,evasion_dilute,28.047691990337874,0.0,0.648
100,10,evasion_dilute,27.45099673797421,0.0,0.669
100,10,evasion_dilute,26.853871964321762,0.0,0.683
100,10,evasion_dilute,26.2572748686953,0.0,0.735
100,10,evasion_dilute,25.661543506395397,0.0,0.759
100,10,evasion_dilute,25.06398920428479,0.0,0.774
100,10,evasion_dilute,24.467245621007503,0.0,0.793
100,10,evasion_dilute,23.869666231504993,0.0,0.839
100,10,evasion_dilute,23.27327279097343,0.0,0.846
100,10,evasion_dilute,22.67778070526608,0.0,0.859
100,10,evasion_dilute,22.079876673709276,0.0,0.874
100,10,evasion_dilute,21.482804102050025,0.0,0.901
100,10,evasion_dilute,20.886056647693163,0.0,0.914
100,10,evasion_dilute,20.289882634888183,0.0,0.92
100,10,evasion_dilute,19.692503962086786,0.0,0.925
100,10,evasion_dilute,19.096367483915763,0.0,0.941
100,10,evasion_dilute,18.500312917381596,0.0,0.947
100,10,evasion_dilute,17.903089986991944,0.0,0.952
100,10,evasion_dilute,17.306273051076353,0.0,0.955
100,10,evasion_dilute,16.70996538863748,0.0,0.963
100,10,evasion_dilute,16.112382699664263,0.0,0.968
100,10,evasion_dilute,15.515700160653214,0.0,0.97
100,10,evasion_dilute,14.920818753952375,0.0,0.973
100,10,evasion_dilute,14.322393047279506,0.0,0.977
100,10,evasion_dilute,13.72584215073632,0.0,0.98
100,10,evasion_dilute,13.129011186239424,0.0,0.983
100,10,evasion_dilute,12.531652669587842,0.0,0.987
100,10,evasion_dilute,11.935542010773082,0.0,0.991
100,10,evasion_dilute,11.339134521996131,0.0,0.993
100,10,evasion_dilute,10.145086977692145,0.0,0.994
100,10,evasion_dilute,9.54821356447571,0.0,0.996
100,10,evasion_dilute,8.950781977329818,0.0,0.997
100,10,evasion_dilute,8.354577730650908,0.0,0.998
100,10,evasion_dilute,7.161150909262744,0.002,1.0
100,10,evasion_dilute,4.774690718274138,0.004,1.0
100,10,evasion_dilute,4.1778319206319825,0.008,1.0
100,10,evasion_dilute,3.5816987086802543,0.016,1.0
100,10,evasion_dilute,3.0,0.055,1.0
100,10,evasion_dilute,2.3979400086720375,0.189,1.0
100,10,evasion_dilute,1.7958800173440752,0.501,1.0
100,10,evasion_dilute,1.193820026016113,0.87,1.0
100,10,evasion_dilute,0.6020599913279624,0.999,1.0
100,10,evasion_dilute,-0.0,1.0,1.0
100,10,evasion_dilute,-inf,1.0,1.0
100,15,evasion_pure,inf,0.0,0.0
100,15,evasion_pure,43.56383735295925,0.0,0.001
100,15,evasion_pure,42.96657624451305,0.0,0.005
100,15,evasion_pure,42.36957212497498,0.0,0.006
100,15,evasion_pure,41.772113295386326,0.0,0.009
100,15,evasion_pure,41.17587416608345,0.0,0.01
100,15,evasion_pure,40.580044251510245,0.0,0.023
100,15,evasion_pure,39.98296666070122,0.0,0.029
100,15,evasion_pure,39.38615817812393,0.0,0.033
100,15,evasion_pure,38.78781239559604,0.0,0.043
100,15,evasion_pure,38.192464971931145,0.0,0.075
100,15,evasion_pure,37.59516628338006,0.0,0.087
100,15,evasion_pure,37.0,0.0,0.1
100,15,evasion_pure,36.40230481407449,0.0,0.123
100,15,evasion_pure,35.80410034759077,0.0,0.18
100,15,evasion_pure,35.20830935097988,0.0,0.203
100,15,evasion_pure,34.612610173661274,0.0,0.235
100,15,evasion_pure,34.015022873584506,0.0,0.253
100,15,evasion_pure,33.41793663708829,0.0,0.338
100,15,evasion_pure,32.82102305270683,0.0,0.369
100,15,evasion_pure,32.224753740259764,0.0,0.397
100,15,evasion_pure,31.628932137728263,0.0,0.437
100,15,evasion_pure,31.031517051446066,0.0,0.553
100,15,evasion_pure,30.434152181326482,0.0,0.595
100,15,evasion_pure,29.838631997765024,0.0,0.643
100,15,evasion_pure,29.241088107602028,0.0,0.675
100,15,evasion_pure,28.643974142806876,0.0,0.751
100,15,evasion_pure,28.047691990337874,0.0,0.791
100,15,evasion_pure,27.45099673797421,0.0,0.825
100,15,evasion_pure,26.853871964321762,0.0,0.854
100,15,evasion_pure,26.2572748686953,0.0,0.914
100,15,evasion_pure,25.661543506395397,0.0,0.931
100,15,evasion_pure,25.06398920428479,0.0,0.943
100,15,evasion_pure,24.467245621007503,0.0,0.951
100,15,evasion_pure,23.869666231504993,0.0,0.972
100,15,evasion_pure,23.27327279097343,0.0,0.976
100,15,evasion_pure,22.67778070526608,0.0,0.983
100,15,evasion_pure,22.079876673709276,0.0,0.987
100,15,evasion_pure,21.482804102050025,0.0,0.993
100,15,evasion_pure,20.886056647693163,0.0,0.994
100,15,evasion_pure,20.289882634888183,0.0,0.995
100,15,evasion_pure,19.692503962086786,0.0,0.996
100,15,evasion_pure,19.096367483915763,0.0,0.998
100,15,evasion_pure,17.306273051076353,0.0,0.999
100,15,evasion_pure,16.70996538863748,0.0,1.0
100,15,evasion_pure,7.161150909262744,0.002,1.0
100,15,evasion_pure,4.774690718274138,0.004,1.0
100,15,evasion_pure,4.1778319206319825,0.008,1.0
100,15,evasion_pure,3.5816987086802543,0.016,1.0
100,15,evasion_pure,3.0,0.055,1.0
100,15,evasion_pure,2.3979400086720375,0.189,1.0
100,15,evasion_pure,1.7958800173440752,0.501,1.0
100,15,evasion_pure,1.193820026016113,0.87,1.0
100,15,evasion_pure,0.6020599913279624,0.999,1.0
100,15,evasion_pure,-0.0,1.0,1.0
100,15,evasion_pure,-inf,1.0,1.0
100,15,evasion_dilute,inf,0.0,0.0
100,15,evasion_dilute,45.35359627377693,0.0,0.001
100,15,evasion_dilute,38.192464971931145,0.0,0.004
100,15,evasion_dilute,37.59516628338006,0.0,0.005
100,15,evasion_dilute,36.40230481407449,0.0,0.007
100,15,evasion_dilute,35.80410034759077,0.0,0.015
100,15,evasion_dilute,35.20830935097988,0.0,0.019
100,15,evasion_dilute,34.612610173661274,0.0,0.021
100,15,evasion_dilute,34.015022873584506,0.0,0.024
100,15,evasion_dilute,33.41793663708829,0.0,0.029
100,15,evasion_dilute,32.82102305270683,0.0,0.035
100,15,evasion_dilute,32.224753740259764,0.0,0.045
100,15,evasion_dilute,31.628932137728263,0.0,0.053
100,15,evasion_dilute,31.031517051446066,0.0,0.066
100,15,evasion_dilute,30.434152181326482,0.0,0.07
100,15,evasion_dilute,29.838631997765024,0.0,0.08
100,15,evasion_dilute,29.241088107602028,0.0,0.091
100,15,evasion_dilute,28.643974142806876,0.0,0.115
100,15,evasion_dilute,28.047691990337874,0.0,0.125
100,15,evasion_dilute,27.45099673797421,0.0,0.139
100,15,evasion_dilute,26.853871964321762,0.0,0.155
100,15,evasion_dilute,26.2572748686953,0.0,0.194
100,15,evasion_dilute,25.661543506395397,0.0,0.209
100,15,evasion_dilute,25.06398920428479,0.0,0.235
100,15,evasion_dilute,24.467245621007503,0.0,0.252
100,15,evasion_dilute,23.869666231504993,0.0,0.288
100,15,evasion_dilute,23.27327279097343,0.0,0.309
100,15,evasion_dilute,22.67778070526608,0.0,0.332
100,15,evasion_dilute,22.079876673709276,0.0,0.365
100,15,evasion_dilute,21.482804102050025,0.0,0.42
100,15,evasion_dilute,20.886056647693163,0.0,0.443
100,15,evasion_dilute,20.289882634888183,0.0,0.473
100,15,evasion_dilute,19.692503962086786,0.0,0.495
100,15,evasion_dilute,19.096367483915763,0.0,0.55
100,15,evasion_dilute,18.500312917381596,0.0,0.576
100,15,evasion_dilute,17.903089986991944,0.0,0.604
100,15,evasion_dilute,17.306273051076353,0.0,0.642
100,15,evasion_dilute,16.70996538863748,0.0,0.674
100,15,evasion_dilute,16.112382699664263,0.0,0.693
100,15,evasion_dilute,15.515700160653214,0.0,0.717
100,15,evasion_dilute,14.920818753952375,0.0,0.734
100,15,evasion_dilute,14.322393047279506,0.0,0.767
100,15,evasion_dilute,13.72584215073632,0.0,0.789
100,15,evasion_dilute,13.129011186239424,0.0,0.809
100,15,evasion_dilute,12.531652669587842,0.0,0.823
100,15,evasion_dilute,11.935542010773082,0.0,0.843
100,15,evasion_dilute,11.339134521996131,0.0,0.86
100,15,evasion_dilute,10.742321425130816,0.0,0.874
100,15,evasion_dilute,10.145086977692145,0.0,0.896
100,15,evasion_dilute,9.54821356447571,0.0,0.912
100,15,evasion_dilute,8.950781977329818,0.0,0.922
100,15,evasion_dilute,8.354577730650908,0.0,0.938
100,15,evasion_dilute,7.756961951313706,0.0,0.948
100,15,evasion_dilute,7.161150909262744,0.002,0.957
100,15,evasion_dilute,6.565431095965801,0.002,0.965
100,15,evasion_dilute,5.966576244513051,0.002,0.971
100,15,evasion_dilute,5.371611069949688,0.002,0.979
100,15,evasion_dilute,4.774690718274138,0.004,0.983
100,15,evasion_dilute,4.1778319206319825,0.008,0.988
100,15,evasion_dilute,3.5816987086802543,0.016,0.99
100,15,evasion_dilute,3.0,0.055,0.994
100,15,evasion_dilute,2.3979400086720375,0.189,0.996
100,15,evasion_dilute,1.7958800173440752,0.501,0.998
100,15,evasion_dilute,1.193820026016113,0.87,0.999
100,15,evasion_dilute,0.6020599913279624,0.999,1.0
100,15,evasion_dilute,-0.0,1.0,1.0
100,15,evasion_dilute,-inf,1.0,1.0
100,20,evasion_pure,inf,0.0,0.0
100,20,evasion_pure,39.98296666070122,0.0,0.001
100,20,evasion_pure,38.192464971931145,0.0,0.002
100,20,evasion_pure,37.59516628338006,0.0,0.003
100,20,evasion_pure,34.015022873584506,0.0,0.004
100,20,evasion_pure,33.41793663708829,0.0,0.007
100,20,evasion_pure,32.82102305270683,0.0,0.008
100,20,evasion_pure,32.224753740259764,0.0,0.014
100,20,evasion_pure,31.628932137728263,0.0,0.022
100,20,evasion_pure,31.031517051446066,0.0,0.033
100,20,evasion_pure,30.434152181326482,0.0,0.041
100,20,evasion_pure,29.838631997765024,0.0,0.047
100,20,evasion_pure,29.241088107602028,0.0,0.055
100,20,evasion_pure,28.643974142806876,0.0,0.086
100,20,evasion_pure,28.047691990337874,0.0,0.113
100,20,evasion_pure,27.45099673797421,0.0,0.14
100,20,evasion_pure,26.853871964321762,0.0,0.166
100,20,evasion_pure,26.2572748686953,0.0,0.224
100,20,evasion_pure,25.661543506395397,0.0,0.255
100,20,evasion_pure,25.06398920428479,0.0,0.293
100,20,evasion_pure,24.467245621007503,0.0,0.327
100,20,evasion_pure,23.869666231504993,0.0,0.39
100,20,evasion_pure,23.27327279097343,0.0,0.431
100,20,evasion_pure,22.67778070526608,0.0,0.482
100,20,evasion_pure,22.079876673709276,0.0,0.523
100,20,evasion_pure,21.482804102050025,0.0,0.597
100,20,evasion_pure,20.886056647693163,0.0,0.646
100,20,evasion_pure,20.289882634888183,0.0,0.69
100,20,evasion_pure,19.692503962086786,0.0,0.735
100,20,evasion_pure,19.096367483915763,0.0,0.787
100,20,evasion_pure,18.500312917381596,0.0,0.825
100,20,evasion_pure,17.903089986991944,0.0,0.847
100,20,evasion_pure,17.306273051076353,0.0,0.869
100,20,evasion_pure,16.70996538863748,0.0,0.903
100,20,evasion_pure,16.112382699664263,0.0,0.927
100,20,evasion_pure,15.515700160653214,0.0,0.942
100,20,evasion_pure,14.920818753952375,0.0,0.957
100,20,evasion_pure,14.322393047279506,0.0,0.972
100,20,evasion_pure,13.72584215073632,0.0,0.976
100,20,evasion_pure,13.129011186239424,0.0,0.982
100,20,evasion_pure,12.531652669587842,0.0,0.988
100,20,evasion_pure,11.935542010773082,0.0,0.994
100,20,evasion_pure,11.339134521996131,0.0,0.995
100,20,evasion_pure,10.742321425130816,0.0,0.996
100,20,evasion_pure,10.145086977692145,0.0,0.997
100,20,evasion_pure,9.54821356447571,0.0,0.998
100,20,evasion_pure,8.950781977329818,0.0,0.999
100,20,evasion_pure,7.161150909262744,0.002,0.999
100,20,evasion_pure,6.565431095965801,0.002,1.0
100,20,evasion_pure,4.774690718274138,0.004,1.0
100,20,evasion_pure,4.1778319206319825,0.008,1.0
100,20,evasion_pure,3.5816987086802543,0.016,1.0
100,20,evasion_pure,3.0,0.055,1.0
100,20,evasion_pure,2.3979400086720375,0.189,1.0
100,20,evasion_pure,1.7958800173440752,0.501,1.0
100,20,evasion_pure,1.193820026016113,0.87,1.0
100,20,evasion_pure,0.6020599913279624,0.999,1.0
100,20,evasion_pure,-0.0,1.0,1.0
100,20,evasion_pure,-inf,1.0,1.0
