T,mut_pct,evasion_type,threshold,fpr,tpr
100,10,evasion_dilute,40.7594507517174,0.0,0.069
100,10,evasion_dilute,40.16304326294045,0.0,0.072
100,10,evasion_dilute,39.5654310959658,0.0,0.076
100,10,evasion_dilute,38.97061622231479,0.0,0.125
100,10,evasion_dilute,38.37263414340727,0.0,0.134
100,10,evasion_dilute,37.77469071827414,0.0,0.147
100,10,evasion_dilute,37.1791420105603,0.0,0.156
100,10,evasion_dilute,36.58169870868026,0.0,0.212
100,10,evasion_dilute,35.98716277529483,0.0,0.224
100,10,evasion_dilute,35.38827669199266,0.0,0.241
100,10,evasion_dilute,34.79317412396815,0.0,0.261
100,10,evasion_dilute,34.195179321278836,0.0,0.326
100,10,evasion_dilute,33.598599459218455,0.0,0.348
100,10,evasion_dilute,33.0017406615763,0.0,0.365
100,10,evasion_dilute,32.40450377817442,0.0,0.391
100,10,evasion_dilute,31.80966830182971,0.0,0.463
100,10,evasion_dilute,31.211831628858832,0.0,0.487
100,10,evasion_dilute,30.614393726401687,0.0,0.51
100,10,evasion_dilute,30.018181392829337,0.0,0.533
100,10,evasion_dilute,29.421360790031926,0.0,0.602
100,10,evasion_dilute,28.82390874094432,0.0,0.624
100,10,evasion_dilute,28.22767829327708,0.0,0.65
100,10,evasion_dilute,27.630784142589857,0.0,0.665
100,10,evasion_dilute,27.034328028779893,0.0,0.739
100,10,evasion_dilute,26.437707135543526,0.0,0.76
100,10,evasion_dilute,25.84163750790475,0.0,0.78
100,10,evasion_dilute,25.24412514432751,0.0,0.793
100,10,evasion_dilute,24.647817481888637,0.0,0.839
100,10,evasion_dilute,24.05060999335509,0.0,0.85
100,10,evasion_dilute,23.45345733652187,0.0,0.855
100,10,evasion_dilute,22.856985199745903,0.0,0.87
100,10,evasion_dilute,22.260427655549908,0.0,0.904
100,10,evasion_dilute,21.66354026615147,0.0,0.91
100,10,evasion_dilute,21.0670191780768,0.0,0.918
100,10,evasion_dilute,20.46980030179692,0.0,0.925
100,10,evasion_dilute,19.872895201635192,0.0,0.941
100,10,evasion_dilute,19.276544327964814,0.0,0.947
100,10,evasion_dilute,18.679853713888946,0.0,0.956
100,10,evasion_dilute,18.083019952679617,0.0,0.958
100,10,evasion_dilute,17.48678239993206,0.0,0.97
100,10,evasion_dilute,16.889410289700752,0.0,0.976
100,10,evasion_dilute,16.292429823902065,0.0,0.978
100,10,evasion_dilute,15.69680394257951,0.0,0.985
100,10,evasion_dilute,15.099086932262331,0.0,0.991
100,10,evasion_dilute,14.503070351926786,0.0,0.992
